#{"t_start": 1708848352.9417324, "env_id": "None"}
r,l,t
-166.04932,122,28.362152
-177.2422,122,28.362152
-175.46667,122,28.362152
-176.98705,122,28.362152
-170.48778,122,55.44995
-174.00789,122,55.44995
-331.15,254,60.596927
-343.90128,263,65.727468
-287.7654,232,86.187371
-169.64204,122,91.835479
-160.99077,122,91.835479
-177.68129,122,96.913627
-172.18797,122,101.768016
-410.63037,303,112.936844
-177.59132,122,125.702622
-177.34326,122,131.311492
-147.32451,122,131.312492
-141.23906,122,163.339085
-141.23906,122,163.339085
-141.23906,122,163.339085
-141.23906,122,163.339085
-141.23906,122,163.339085
-141.23906,122,163.339085
-97.800415,122,189.822004
-166.55878,122,189.822004
-161.6541,122,189.822004
-158.13217,122,189.822004
-84.57253,122,189.822004
-173.09232,122,189.822004
-167.62613,122,216.134059
-171.31502,122,216.134059
-121.8624,122,216.134059
-168.0738,122,216.134059
-138.35461,122,216.134059
-173.09924,122,216.134059
-170.40039,122,243.416188
-165.02744,122,243.416188
-172.894,122,243.416188
-236.33682,216,264.894401
-146.83328,122,273.760639
-147.19408,122,273.760639
-115.5641,122,306.70541
-115.5641,122,306.70541
-115.5641,122,306.70541
-115.55923,122,306.70541
-115.5641,122,306.70541
-115.5641,122,306.70541
-160.14087,122,334.235487
-165.5945,122,334.235487
-122.53321,122,334.235487
-166.86383,122,334.235487
-164.29547,122,334.235487
-159.90266,122,362.165564
-171.60268,122,362.165564
-135.75183,122,362.165564
-308.2073,276,372.459648
-140.75179,122,394.015928
-156.45668,122,403.709555
-377.5183,319,415.936543
-237.03806,208,421.546811
223.74,422,536.319157
223.74,422,536.319157
223.74,422,536.319157
223.72589,422,536.319157
223.74,422,536.319157
223.74,422,536.319157
-171.92532,122,567.235948
-262.28677,206,589.723054
-264.28583,214,594.778457
-312.81342,239,603.765561
-170.85681,122,608.176651
-308.51654,255,614.340914
-159.42026,122,642.499504
-172.43129,122,649.457621
-179.74501,142,654.893388
-552.78516,405,663.103347
-264.00034,230,674.44224
-166.47481,122,688.809978
-340.72812,273,692.949001
-172.5243,122,698.942082
295.84088,367,802.793615
295.84088,367,802.793615
295.84088,367,802.793615
295.84,367,802.793615
295.84088,367,802.793615
295.84088,367,802.793615
-159.81552,122,837.949826
-164.48102,122,837.949826
-165.68709,122,837.949826
-156.18188,122,837.949826
-168.99498,122,873.20161
-147.23773,122,873.20161
-168.87512,122,873.20161
-335.43018,278,886.000642
-402.443,321,900.712286
-286.01813,243,915.73145
-173.34389,122,918.085483
-156.4916,122,918.085483
-169.18398,122,941.235246
-270.09082,210,947.591392
-165.08157,122,959.739244
-168.95808,122,962.069676
-176.57103,122,962.069676
131.70468,433,1100.041394
131.70468,433,1100.041394
131.70468,433,1100.041394
131.71625,433,1100.041394
131.70468,433,1100.041394
131.70468,433,1100.041394
-170.91031,122,1139.825159
-164.8384,122,1139.825159
-173.06926,122,1139.825159
-141.85489,122,1139.825159
-174.52513,122,1139.825159
-256.28775,215,1171.57018
-172.1547,122,1183.771842
-171.166,122,1183.771842
-177.76233,122,1183.771842
-173.49725,122,1216.148116
-178.7676,122,1228.811602
-172.8612,122,1228.811602
-333.5375,253,1235.290542
-168.82004,122,1274.651747
-158.60522,122,1280.937853
-337.2964,254,1283.354602
272.6445,340,1409.141882
272.6445,340,1409.141882
272.6445,340,1409.141882
272.6445,340,1409.141882
272.6445,340,1409.141882
272.17545,342,1413.601608
-173.89758,122,1458.668988
-166.5017,122,1458.668988
-143.4552,122,1458.668988
-175.05351,122,1458.668988
-167.10068,122,1462.653664
-311.54504,240,1507.249619
-168.35596,122,1511.81233
-151.97104,122,1511.81233
-173.90364,122,1511.81233
-175.66266,122,1511.81233
-170.27274,122,1515.916727
-176.6956,122,1562.048044
-163.66008,122,1566.705383
-153.82202,122,1566.705383
-173.10828,122,1566.705383
-178.39885,122,1571.310334
