#{"t_start": 1708878562.1385813, "env_id": "None"}
r,l,t
-311.2876,115,33.02839
-334.6315,118,57.630761
-320.53656,138,83.496525
-529.5315,254,118.255492
-527.99744,262,140.554359
-342.48535,179,165.926634
-378.36505,193,191.089307
-668.3457,339,212.078072
-655.6876,348,233.492397
-546.81683,274,263.843792
-480.58374,436,307.015054
-419.87482,221,358.634097
-419.87482,221,358.634097
-419.87482,221,358.634097
-419.87482,221,358.634097
-419.87482,221,358.634097
-419.87482,221,358.634097
-419.87482,221,358.634097
-420.31186,221,358.634097
-398.354,220,401.543418
-425.48126,228,428.724558
-420.40067,229,447.772217
-421.66687,233,470.866132
-422.28824,236,493.266707
-414.92108,238,516.392879
-455.69632,250,540.43614
-453.7385,252,563.440279
-353.6833,198,605.471478
-390.9951,218,628.69795
-362.69067,207,651.941626
-379.58832,219,676.101109
-383.63892,228,699.223309
-415.80725,234,728.892629
-400.9065,213,752.106819
245.38441,234,831.666503
924.4279,212,925.402365
924.4279,212,925.402365
924.4279,212,925.402365
924.4279,212,925.402365
924.4279,212,925.402365
924.4279,212,925.402365
924.4279,212,925.402365
929.8388,219,999.115113
711.486,217,1110.911557
-416.92953,238,1136.429479
1169.6991,248,1210.21569
2199.0212,259,1278.129463
1858.3473,261,1344.792842
1691.9496,261,1344.792842
1820.7201,262,1405.620349
3619.714,262,1405.620349
4676.7427,173,1501.131414
4400.8037,215,1572.014591
-60.794643,236,1657.318282
1723.8065,301,1749.566533
1723.8065,301,1749.566533
1723.8065,301,1749.566533
1723.8065,301,1749.566533
1723.8065,301,1749.566533
1723.8065,301,1749.566533
1723.8065,301,1749.566533
1719.406,308,1810.303442
1518.164,210,1913.217339
3164.5098,208,1977.830788
1727.2488,217,2047.744201
1520.5697,227,2118.533543
1081.5243,231,2188.488845
1593.5413,233,2255.191522
1995.2745,245,2319.031832
1717.9916,269,2381.955369
-321.5835,167,2492.427984
-333.52393,172,2585.420578
-272.83212,152,2679.546898
-438.25922,226,2709.882409
-404.6661,217,2733.412789
-454.42847,250,2757.849627
-102.37593,198,2867.095857
-114.32203,205,2944.021214
-114.32203,205,2944.021214
-114.32203,205,2944.021214
-114.32203,205,2944.021214
-114.32203,205,2944.021214
-114.32203,205,2944.021214
-114.32203,205,2944.021214
1189.9938,141,3063.550231
-297.38776,147,3089.151761
-305.00165,160,3115.565333
-327.806,163,3144.143331
-339.13226,163,3144.143331
279.0334,187,3226.025344
329.3935,198,3296.689963
-493.0663,269,3329.144674
431.55655,153,3430.237974
-419.32065,229,3500.184653
-450.37988,245,3586.731198
197.0886,276,3681.897189
-258.15637,282,3756.792504
-527.2162,292,3784.732583
2008.7396,164,3884.400531
2008.7396,164,3884.400531
2008.7396,164,3884.400531
2008.7396,164,3884.400531
2008.7396,164,3884.400531
2008.7396,164,3884.400531
2008.7396,164,3884.400531
2039.1466,164,3884.400531
6183.64,141,3991.438357
3247.7988,151,4060.518008
3850.9207,163,4127.623054
2412.8567,170,4189.551042
2300.9268,178,4250.38154
-29.883865,272,4338.187648
41.79221,292,4406.265423
-167.97931,296,4475.197818
4727.3516,171,4545.248387
2669.763,169,4618.236537
-44.03316,267,4706.915128
-211.702,263,4777.777524
1445.2814,126,4861.695262
2581.3552,167,4936.99634
2990.9482,190,5004.854628
540.12286,335,5057.454967
3308.8096,203,5129.516649
2906.4014,228,5190.453567
1272.6024,261,5301.367965
1272.6024,261,5301.367965
1272.6024,261,5301.367965
1272.6024,261,5301.367965
1272.6024,261,5301.367965
1272.6024,261,5301.367965
1272.6024,261,5301.367965
1239.222,264,5361.646099
1976.0355,144,5470.723708
2451.3074,160,5546.488188
1091.3474,167,5622.178779
3119.7397,169,5695.122249
4927.079,182,5763.453988
987.1376,212,5837.574703
1312.6359,213,5899.453554
916.8832,144,5986.288945
789.3539,144,6051.980502
696.7924,173,6114.980171
714.9246,318,6161.573104
1006.59973,175,6225.43623
1050.8761,190,6299.923865
1139.9818,180,6362.544877
483.60257,212,6433.842569
1324.1401,172,6506.471742
1302.1388,190,6580.929066
8268.076,161,6691.844779
8268.076,161,6691.844779
8268.076,161,6691.845779
8268.076,161,6691.845779
8268.076,161,6691.845779
8268.076,161,6691.845779
8268.076,161,6691.845779
7732.7803,188,6765.810384
8589.608,151,6869.884459
2239.993,139,6951.74448
8471.315,171,7022.559981
8215.868,179,7093.07064
7552.5283,183,7161.211905
8590.127,199,7235.066054
7549.8687,218,7307.032449
8030.748,219,7370.67018
2314.2437,164,7467.27121
3048.1797,163,7554.777586
-188.94577,312,7643.724558
-30.369608,320,7708.184179
30.175646,356,7760.525437
799.9101,234,7891.664731
820.4506,294,7968.072628
820.4506,294,7968.072628
820.4506,294,7968.072628
820.4506,294,7968.072628
820.4506,294,7968.072628
820.4506,294,7968.072628
820.4506,294,7968.072628
1006.05664,172,8070.074451
821.7459,148,8145.151623
606.0287,158,8204.521676
826.82367,170,8266.038941
1566.595,220,8358.52884
1861.8701,237,8438.386537
161.48647,288,8502.81111
-57.026577,339,8570.921677
543.86,366,8671.900817
-161.4587,341,8725.761424
-135.21124,351,8902.351559
-121.8819,355,8953.464747
-121.8819,355,8953.465748
-121.8819,355,8953.465748
-121.8819,355,8953.465748
