#{"t_start": 1708157199.058616, "env_id": "None"}
r,l,t
50.441086,122,274.965677
50.441086,122,274.965677
50.441086,122,274.965677
50.441086,122,274.965677
50.441086,122,274.965677
50.441086,122,274.965677
43.776623,122,327.535291
42.161194,122,327.536291
28.82378,122,327.536291
46.655643,122,327.536291
36.666523,122,327.536291
23.20029,122,327.536291
38.818222,122,379.821118
33.69043,122,379.821118
53.586643,122,379.821118
48.537273,122,379.821118
36.74527,122,379.821118
41.72378,122,379.821118
39.287617,122,431.367037
4.2857375,122,431.367037
45.54853,122,431.367037
27.203035,122,431.367037
30.049765,122,431.367037
42.667496,122,431.367037
-13.360535,122,484.145756
9.117077,122,484.145852
10.442424,122,484.145852
7.1986547,122,484.145852
6.979373,122,484.145852
43.330975,122,484.145852
15.69846,122,551.634915
15.69846,122,551.634915
15.69846,122,551.634915
15.69846,122,551.634915
15.69846,122,551.634915
15.69846,122,551.634915
-8.085668,122,619.578361
45.195927,122,619.578361
17.584072,122,619.578361
39.86874,122,619.578361
46.497154,122,619.578361
11.544543,122,619.578361
17.22847,122,696.538714
21.45629,122,696.538714
40.922688,122,696.538714
15.937322,122,696.538714
46.08201,122,696.538714
4.5920014,122,696.538714
23.187021,122,774.424529
22.507347,122,774.424529
5.4749694,122,774.424529
40.13457,122,774.424529
30.003275,122,774.424529
38.666275,122,774.424529
40.49655,122,851.30848
48.467884,122,851.30848
52.980114,122,851.30848
40.701134,122,851.30848
34.347008,122,851.30848
20.82368,122,851.30848
54.27645,122,946.197997
54.27645,122,946.197997
54.27645,122,946.197997
54.27645,122,946.197997
54.27645,122,946.197997
54.27645,122,946.197997
51.752815,122,1024.208821
54.180508,122,1024.208821
40.811287,122,1024.208821
54.79268,122,1024.208821
56.405033,122,1024.208821
50.813362,122,1024.208821
46.19874,122,1104.371711
34.5015,122,1104.371711
52.907482,122,1104.371711
30.430298,122,1104.371711
52.89087,122,1104.371711
40.262592,122,1104.371711
29.153685,122,1183.487194
50.449528,122,1183.487194
53.16487,122,1183.487194
48.898624,122,1183.487194
10.588019,122,1183.487194
55.791817,122,1183.487194
62.62451,122,1262.561257
49.040104,122,1262.561257
63.374336,122,1262.561257
47.3186,122,1262.561257
54.47843,122,1262.561257
44.378498,122,1357.472339
44.378498,122,1357.47334
44.378498,122,1357.47334
44.378498,122,1357.47334
44.378498,122,1357.47334
44.378498,122,1357.47334
47.529484,122,1436.283334
29.603962,122,1436.283334
57.300762,122,1436.283334
38.445435,122,1436.283334
45.65943,122,1436.283334
51.069786,122,1513.191369
48.059322,122,1513.191369
60.53842,122,1513.191369
62.097187,122,1513.191369
45.335945,122,1513.191369
55.848755,122,1590.861352
40.743816,122,1590.861352
48.13653,122,1590.861352
48.647354,122,1590.861352
52.708668,122,1590.861352
725.8495,481,1658.51953
51.94907,122,1671.49229
60.800674,122,1671.49229
27.77661,122,1671.49229
36.577053,122,1671.49229
40.819786,122,1671.49229
70.50345,122,1767.111273
70.50345,122,1767.111273
70.50345,122,1767.111273
70.50345,122,1767.111273
70.50345,122,1767.111273
70.50345,122,1767.111273
26.593184,122,1846.869658
46.84636,122,1846.869658
37.877716,122,1846.869658
42.369957,122,1846.869658
38.674644,122,1846.869658
46.70771,122,1846.869658
59.01195,122,1926.927868
14.845639,122,1926.927868
23.971792,122,1926.927868
38.722416,122,1926.927868
44.24315,122,1926.927868
37.07612,122,1926.927868
41.790333,122,2006.597406
40.898636,122,2006.598406
31.021942,122,2006.598406
51.713135,122,2006.598406
50.157646,122,2006.598406
53.642906,122,2006.598406
30.624294,122,2086.865988
46.36499,122,2086.865988
41.38088,122,2086.865988
21.55439,122,2086.865988
27.935453,122,2086.865988
35.39437,122,2086.865988
71.92513,122,2183.530905
71.92513,122,2183.530905
71.92513,122,2183.530905
71.92513,122,2183.530905
71.92513,122,2183.530905
71.92513,122,2183.530905
44.732697,122,2263.693141
44.6506,122,2263.693141
44.114353,122,2263.693141
41.431778,122,2263.693141
33.382767,122,2263.693141
48.34432,122,2263.693141
18.40169,122,2343.810945
28.797806,122,2343.810945
30.831644,122,2343.810945
9.635502,122,2343.810945
14.717087,122,2343.810945
-4.7446856,122,2343.810945
15.391151,122,2424.065095
-9.948394,122,2424.065095
12.209051,122,2424.065095
23.480665,122,2424.065095
8.242789,122,2424.065095
17.777182,122,2424.065095
25.521748,122,2504.416896
16.401325,122,2504.416896
6.3371058,122,2504.416896
33.726456,122,2504.416896
20.43091,122,2504.416896
10.624043,122,2504.416896
91.23831,122,2601.696127
91.23831,122,2601.696127
91.23831,122,2601.696127
91.23831,122,2601.696127
91.23831,122,2601.696127
91.23831,122,2601.696127
3.091937,122,2682.169502
-13.822839,122,2682.169502
-15.1321,122,2682.169502
2.3533287,122,2682.169502
1.5554814,122,2682.169502
22.046963,122,2682.169502
51.02879,122,2762.258982
-7.388091,122,2762.258982
15.870684,122,2762.258982
8.628925,122,2762.258982
-31.280296,122,2762.258982
-1.1131735,122,2762.258982
14.959722,122,2842.352978
28.237835,122,2842.352978
43.368126,122,2842.352978
12.1405735,122,2842.352978
18.61098,122,2842.352978
14.259076,122,2842.352978
10.554142,122,2922.573727
25.510237,122,2922.573727
80.623146,122,2922.573727
12.253351,122,2922.573727
72.18532,122,2922.573727
22.605225,122,2922.573727
90.73213,122,3019.768541
90.73213,122,3019.768541
90.73213,122,3019.768541
90.73213,122,3019.768541
90.73213,122,3019.768541
90.73213,122,3019.768541
3.634264,122,3099.956614
7.0929604,122,3099.956614
35.638813,122,3099.956614
8.750829,122,3099.956614
-13.150755,122,3099.956614
46.67968,122,3099.956614
-16.591007,122,3180.479108
-9.312931,122,3180.479108
56.35419,122,3180.479108
58.46236,122,3180.479108
73.12417,122,3180.479108
24.174908,122,3180.479108
24.082003,122,3260.873703
41.563023,122,3260.873703
48.06168,122,3260.873703
45.493946,122,3260.873703
41.712402,122,3260.873703
11.072632,122,3260.873703
61.71654,122,3341.448435
35.889217,122,3341.448435
41.385063,122,3341.448435
25.607744,122,3341.448435
38.06383,122,3341.448435
42.022854,122,3341.448435
48.069324,122,3439.129973
48.069324,122,3439.129973
48.069324,122,3439.129973
48.069324,122,3439.129973
48.069324,122,3439.129973
48.069324,122,3439.129973
50.73015,122,3517.936082
47.733433,122,3517.936082
59.46484,122,3517.936082
50.698917,122,3517.936082
39.544292,122,3517.936082
57.429478,122,3595.463918
37.62494,122,3595.463918
50.26578,122,3595.463918
50.21391,122,3595.463918
13.914281,122,3595.463918
53.806103,122,3673.717812
8.749539,122,3673.717812
-6.366806,122,3673.717812
53.066914,122,3673.717812
33.152203,122,3673.717812
57.331448,440,3721.249986
-8.838708,122,3756.322288
15.605681,122,3756.322288
21.2819,122,3756.322288
83.76487,122,3756.322288
20.33054,122,3756.322288
18.79694,122,3851.050242
18.79694,122,3851.050242
18.79694,122,3851.050242
18.79694,122,3851.050242
18.79694,122,3851.050242
18.79694,122,3851.050242
38.54564,122,3930.218307
50.878464,122,3930.218307
52.71198,122,3930.218307
46.227566,122,3930.218307
39.993023,122,3930.218307
49.11621,122,3930.218307
43.45708,122,4010.716702
14.228218,122,4010.716702
36.921654,122,4010.716702
34.594166,122,4010.716702
50.71076,122,4010.716702
37.921524,122,4010.716702
39.680145,122,4088.917641
28.481731,122,4088.917641
50.695267,122,4088.917641
56.16352,122,4088.917641
29.277992,122,4088.917641
38.681145,122,4088.917641
-19.492983,122,4167.337416
42.33906,122,4167.337416
25.997444,122,4167.337416
44.967335,122,4167.337416
27.166668,122,4167.337416
47.255367,122,4167.337416
42.7745,122,4261.642844
42.7745,122,4261.642844
42.7745,122,4261.642844
42.7745,122,4261.642844
42.7745,122,4261.642844
42.7745,122,4261.642844
58.2643,122,4340.305275
49.97574,122,4340.305275
38.157104,122,4340.305275
58.07778,122,4340.305275
62.304253,122,4340.305275
13.704469,122,4340.305275
53.77873,122,4417.312724
50.71511,122,4417.312724
51.230762,122,4417.312724
55.879986,122,4417.312724
50.198524,122,4417.312724
26.701916,122,4417.312724
48.66539,122,4495.479761
62.05824,122,4495.479761
57.06674,122,4495.479761
61.881817,122,4495.479761
53.419476,122,4495.479761
46.864056,122,4495.479761
57.51704,122,4572.892164
56.52195,122,4572.892164
57.341927,122,4572.892164
49.244938,122,4572.892164
53.789253,122,4572.892164
50.656498,122,4572.892164
48.33044,122,4668.201306
48.33044,122,4668.201306
48.33044,122,4668.201306
48.33044,122,4668.201306
48.33044,122,4668.201306
48.33044,122,4668.201306
62.098896,122,4743.560002
59.327503,122,4743.560002
56.160286,122,4743.560002
53.272423,122,4743.560002
50.70216,122,4743.560002
58.393566,122,4819.562163
45.767506,122,4819.562163
42.530422,122,4819.562163
54.45796,122,4819.562163
50.58013,122,4819.562163
59.15158,122,4893.518109
56.936005,122,4893.518109
51.903027,122,4893.518109
61.453205,122,4893.518109
46.845196,122,4893.518109
2269.333,481,4959.222216
54.11662,122,4973.214232
63.49695,122,4973.214232
59.754086,122,4973.214232
56.833344,122,4973.214232
39.72689,122,4973.214232
72.21189,122,5065.596943
72.21189,122,5065.596943
72.21189,122,5065.596943
72.21189,122,5065.596943
72.21189,122,5065.596943
72.21189,122,5065.596943
58.83218,122,5144.827999
56.959858,122,5144.827999
64.57244,122,5144.827999
47.392754,122,5144.827999
55.076435,122,5144.827999
59.35142,122,5144.827999
60.42229,122,5221.350643
59.53627,122,5221.350643
53.945065,122,5221.350643
43.614822,122,5221.350643
62.79186,122,5221.350643
53.063908,122,5221.350643
61.303734,122,5300.687323
61.666332,122,5300.687323
56.565533,122,5300.687323
61.00144,122,5300.687323
55.27497,122,5300.687323
57.91072,122,5300.687323
55.098923,122,5377.203637
53.820755,122,5377.203637
58.180874,122,5377.203637
58.44757,122,5377.203637
59.93123,122,5377.203637
61.249504,122,5377.203637
71.48794,122,5473.379716
71.48794,122,5473.379716
71.48794,122,5473.379716
71.48794,122,5473.379716
71.48794,122,5473.379716
71.48794,122,5473.379716
54.612606,122,5549.871897
60.405766,122,5549.871897
57.795895,122,5549.871897
54.17368,122,5549.871897
53.45419,122,5549.871897
62.812874,122,5549.871897
45.747498,122,5629.34335
51.843227,122,5629.34335
58.734085,122,5629.34335
59.83609,122,5629.34335
57.052265,122,5629.34335
47.150703,122,5629.34335
50.69615,122,5705.936574
29.912321,122,5705.936574
52.05542,122,5705.936574
55.80184,122,5705.936574
38.322796,122,5705.936574
58.994698,122,5705.936574
55.443,122,5783.608533
53.58128,122,5783.608533
59.36903,122,5783.608533
54.965958,122,5783.608533
58.003483,122,5783.609035
73.38337,122,5876.03652
73.38337,122,5876.03652
73.38337,122,5876.03652
73.38337,122,5876.03652
73.38337,122,5876.03652
73.38337,122,5876.03652
57.112545,122,5955.136305
58.04272,122,5955.136305
57.59742,122,5955.136305
52.98797,122,5955.136305
60.469013,122,5955.136305
55.022846,122,5955.136305
55.587185,122,6031.773647
55.816944,122,6031.773647
54.719822,122,6031.773647
49.17605,122,6031.773647
52.213108,122,6031.773647
49.72695,122,6031.773647
43.071835,122,6110.881724
